X-coordinate,Y-coordinate,Timestamp
134.38240683333333,7.3417743333333325,1548143661.95
134.3824085,7.341773333333333,1548143662.05
134.3824101666667,7.3417725,1548143662.16
134.38241183333332,7.341771666666667,1548143662.26
134.3824135,7.341770833333333,1548143662.37
134.38241516666668,7.34177,1548143662.48
134.38241516666668,7.34177,1548143662.58
134.38241699999998,7.341769166666667,1548143662.69
134.38241883333333,7.341768500000001,1548143662.79
134.3824205,7.341767833333334,1548143662.9
134.3824225,7.341767166666667,1548143663.0
134.38242433333335,7.3417666666666666,1548143663.1
134.38242616666668,7.341766333333334,1548143663.21
134.382428,7.341765833333333,1548143663.31
134.38242983333333,7.341765666666666,1548143663.42
134.38243183333333,7.341765333333332,1548143663.52
134.38243366666666,7.341765166666666,1548143663.63
134.3824355,7.341765,1548143663.74
134.3824373333333,7.341765,1548143663.84
134.38243916666667,7.341765,1548143663.95
134.38244116666667,7.341765166666666,1548143664.05
134.382443,7.341765166666666,1548143664.16
134.38244483333335,7.3417655,1548143664.26
134.38244666666665,7.341765666666666,1548143664.36
134.38244833333334,7.341765999999999,1548143664.47
134.38245016666667,7.3417665,1548143664.58
134.382452,7.341767000000001,1548143664.68
134.38245366666666,7.3417675,1548143664.79
134.38245366666666,7.3417675,1548143664.89
134.38245533333333,7.341768,1548143665.0
134.38245700000002,7.341768500000001,1548143665.1
134.38245866666665,7.341769166666667,1548143665.21
134.38246033333334,7.34177,1548143665.31
134.38246233333334,7.341771,1548143665.42
134.3824635,7.341771666666667,1548143665.52
134.382465,7.3417725,1548143665.63
134.38246650000002,7.3417734999999995,1548143665.73
134.382468,7.3417745000000005,1548143665.84
134.38246949999998,7.341775666666666,1548143665.94
134.38247083333331,7.341776666666667,1548143666.05
134.38247216666664,7.3417778333333334,1548143666.15
134.3824733333333,7.341779000000001,1548143666.26
134.38247466666664,7.3417803333333325,1548143666.36
134.38247583333333,7.3417815,1548143666.47
134.382477,7.341782833333334,1548143666.57
134.382478,7.341784333333334,1548143666.68
134.38247916666666,7.341785666666667,1548143666.78
134.38248016666665,7.341787166666667,1548143666.89
134.382481,7.341788499999999,1548143666.99
134.38248183333332,7.34179,1548143667.1
134.38248183333332,7.34179,1548143667.2
134.38248266666668,7.341791499999999,1548143667.31
134.3824835,7.341793166666667,1548143667.41
134.38248416666664,7.341794666666668,1548143667.52
134.38248483333334,7.341796166666668,1548143667.62
134.3824855,7.341797833333334,1548143667.73
134.382486,7.3417995,1548143667.83
134.3824865,7.3418011666666665,1548143667.94
134.382487,7.3418028333333325,1548143668.04
134.38248733333333,7.3418045,1548143668.15
134.38248766666666,7.341806166666667,1548143668.25
134.38248783333333,7.341807833333333,1548143668.36
134.38248800000002,7.341809499999999,1548143668.46
134.38248816666666,7.341811333333334,1548143668.57
134.38248816666666,7.341813,1548143668.67
134.38248816666666,7.341814666666666,1548143668.78
134.38248816666666,7.341816333333332,1548143668.88
134.38248816666666,7.341818000000001,1548143668.99
134.38248833333333,7.341819833333333,1548143669.09
134.38248833333333,7.341821499999999,1548143669.2
134.3824885,7.341823166666668,1548143669.3
134.38248866666666,7.341824833333334,1548143669.41
134.38248883333333,7.341826666666666,1548143669.51
134.38248883333333,7.341826666666666,1548143669.62
134.3824891666667,7.341828333333333,1548143669.72
134.38248966666666,7.341830166666667,1548143669.83
134.38249,7.341831833333333,1548143669.93
134.38249066666668,7.341833499999999,1548143670.04
134.38249116666665,7.341835166666668,1548143670.14
134.38249183333335,7.341836833333334,1548143670.25
134.38249249999998,7.3418383333333335,1548143670.35
134.38249333333334,7.34184,1548143670.46
134.38249416666667,7.3418415,1548143670.56
134.38249499999998,7.341843,1548143670.67
134.382496,7.3418445,1548143670.77
134.382497,7.341845833333334,1548143670.88
134.382498,7.341847166666668,1548143670.98
134.38249916666666,7.341848499999999,1548143671.09
134.38250033333333,7.341849833333333,1548143671.19
134.38250150000002,7.341851000000001,1548143671.3
134.38250283333335,7.3418521666666665,1548143671.4
134.38250416666668,7.3418531666666675,1548143671.51
134.3825055,7.341854333333333,1548143671.61
134.38250683333334,7.341855166666666,1548143671.72
134.38250833333333,7.341856166666668,1548143671.82
134.38250833333333,7.341856166666668,1548143671.93
134.38250966666666,7.341857000000001,1548143672.03
134.38251116666666,7.341857666666668,1548143672.14
134.38251266666666,7.341858333333333,1548143672.24
134.38251416666665,7.3418589999999995,1548143672.35
134.38251583333334,7.3418595,1548143672.45
134.38251733333334,7.3418600000000005,1548143672.56
134.38251899999997,7.341860333333333,1548143672.66
134.3825205,7.341860666666667,1548143672.77
134.38252216666666,7.341861,1548143672.87
134.38252383333332,7.341861166666666,1548143672.98
134.3825255,7.341861333333332,1548143673.08
134.38252716666665,7.341861333333332,1548143673.19
134.38252866666664,7.341861333333332,1548143673.29
134.38253033333334,7.341861166666666,1548143673.4
134.382532,7.341861,1548143673.5
134.38253350000002,7.341860666666667,1548143673.61
134.38253516666666,7.341860333333333,1548143673.71
134.38253666666665,7.3418600000000005,1548143673.82
134.38253816666665,7.3418595,1548143673.92
134.38253966666667,7.3418589999999995,1548143674.03
134.38254116666667,7.341858333333333,1548143674.13
134.38254116666667,7.341858333333333,1548143674.24
134.38254266666667,7.341857666666668,1548143674.34
134.382544,7.341856833333333,1548143674.45
134.38254550000002,7.341855999999999,1548143674.55
134.38254683333335,7.341855166666666,1548143674.66
134.38254816666668,7.341854166666667,1548143674.76
134.38254933333334,7.3418531666666675,1548143674.87
134.3825505,7.3418521666666665,1548143674.97
134.38255166666667,7.341851000000001,1548143675.08
